GO_CC(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_CC,Protein_Domain
CMG complex,11,"['YBL023C', 'YBR202W', 'YDR013W', 'YDR489W', 'YEL032W', 'YGL201C', 'YJL072C', 'YLR103C', 'YLR274W', 'YOL146W', 'YPR019W']",['Meier-Gorlin syndrome'],"['MCM2', 'MCM7', 'CSM1', 'CDC7', 'DBF4', 'MCM3', 'MCM6', 'MCM10', 'DPB11', 'SLD2', 'MCM5', 'CTF18', 'SGS1', 'CHL1', 'MCM4']","[""3'-5' DNA helicase activity"", 'DNA binding', 'DNA helicase activity', 'DNA replication origin binding', 'MCM complex binding', 'chromatin binding', 'four-way junction helicase activity', 'helicase activity', 'single-stranded DNA binding', 'single-stranded DNA-dependent ATP-dependent DNA helicase activity']","['DNA duplex unwinding', 'DNA replication', 'DNA replication initiation', 'DNA strand elongation involved in DNA replication', 'DNA unwinding involved in DNA replication', 'DNA-dependent DNA replication', 'cell cycle', 'double-strand break repair via break-induced replication', 'mitotic DNA replication initiation', 'nuclear DNA replication', 'pre-replicative complex assembly involved in nuclear cell cycle DNA replication']",,"['cell cycle progression in S phase: abnormal', 'cell cycle progression in S phase: arrested', 'cell cycle progression through the G1/S phase transition: arrested', 'chromosome segregation: abnormal', 'chromosome/plasmid maintenance: abnormal', 'chromosome/plasmid maintenance: decreased', 'colony sectoring: increased', 'inviable', 'mitotic recombination: increased', 'mutation frequency: increased']","['RFA1', 'MCM2', 'MCM7', 'MRC1', 'CDC7', 'SIR2', 'PSF1', 'DBF4', 'SLD5', 'MCM3', 'SLD3', 'MCM6', 'SPT16', 'YTA7', 'MET30', 'MCM10', 'PSF2', 'DPB11', 'CDC6', 'TAH11', 'SLD2', 'CDC45', 'MCM5', 'MMS22', 'ORC1', 'POB3', 'CSM3', 'POL1', 'POL2', 'TOF1', 'PSF3', 'DIA2', 'MCM4', 'CTF4', 'DPB2']",,"['DNA replication preinitiation complex', 'GINS complex', 'MCM complex', 'MCM core complex', 'nuclear pre-replicative complex', 'nuclear replication fork', 'nucleus', 'replication fork protection complex']","['MCM P-loop domain', 'GINS complex protein', 'MCM N-terminal domain', 'MCM OB domain', 'MCM AAA-lid domain']"
COMA complex,4,"['YBR211C', 'YDR318W', 'YGR179C', 'YPL018W']",,"['HHT1', 'AME1', 'SCM3', 'YBP2', 'CSE4', 'NKP2', 'HHF2']",,"['attachment of spindle microtubules to kinetochore', 'cell cycle', 'cell division', 'meiotic cell cycle', 'protein localization to chromosome, centromeric region']",,['cell cycle progression in anaphase: absent'],"['MTW1', 'IML3', 'AME1', 'MHF2', 'CHL4', 'MCM21', 'CNN1', 'YBP2', 'OKP1', 'DSN1', 'NNF1', 'MCM22', 'CSE4', 'NKP2', 'CTF3', 'PSH1', 'NUF2', 'CTF19', 'NSL1', 'MCM16']",,"['chromosome', 'chromosome, centromeric region', 'kinetochore']",
COP9 signalosome,7,"['YDL147W', 'YDL216C', 'YDR179C', 'YIL071C', 'YJR084W', 'YMR025W', 'YOL117W']",,['SST2'],,"['adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion', 'protein deneddylation']",,"['mating efficiency: increased', 'protein/peptide modification: increased', 'recovery from pheromone-induced cell cycle arrest: decreased', 'recovery from pheromone-induced cell cycle arrest: increased', 'shmoo formation: increased rate']","['RPN5', 'RRI1', 'CSN9', 'SKP1', 'PCI8', 'YJR084W', 'CSI1', 'RRI2']",,,
COPI vesicle coat,8,"['YDL145C', 'YDR238C', 'YER122C', 'YFR051C', 'YGL137W', 'YIL076W', 'YNL287W', 'YPL010W']",,"['VPS8', 'SYN8', 'SFT2', 'BUG1', 'GET3', 'ARF1', 'GCS1', 'TRS85', 'RGP1', 'SEC26', 'GPI17', 'NHX1', 'GRH1', 'GTA1', 'GET2', 'GLO3', 'BST1', 'MST27', 'ERV14', 'SEC27', 'TIP20', 'EMP24', 'COG1', 'NNF2', 'GOS1', 'IRE1', 'BET1', 'TED1', 'SYS1', 'MTC1', 'GEA1', 'OPI3', 'HOC1', 'VPS24', 'RIC1', 'YPT6', 'SEC22', 'VPS38', 'CDC73', 'ERV25', 'GSF2', 'COG8', 'ANY1', 'COG6', 'COG5', 'DSL1', 'SEC21', 'SWM2', 'VPS27', 'TLG2', 'GYP1', 'VPS21', 'INP53', 'CEX1', 'ARL3', 'BTS1', 'VPS30', 'ASA1', 'ANR2']",['structural molecule activity'],"['ER to Golgi vesicle-mediated transport', 'intra-Golgi vesicle-mediated transport', 'intracellular mRNA localization', 'intracellular protein transport', 'protein transport', 'retrograde vesicle-mediated transport, Golgi to ER', 'vesicle-mediated transport']",,"['mitochondrial morphology: abnormal', 'protein secretion: abnormal', 'protein secretion: decreased', 'protein/peptide distribution: decreased']","['SLA1', 'VAM6', 'COP1', 'ARF1', 'SEC26', 'VPS74', 'WBP1', 'GLO3', 'RSP5', 'LAM5', 'EMP47', 'RET2', 'MST27', 'SEC27', 'RRT6', 'RPN10', 'BET1', 'SEC28', 'SNA3', 'AUR1', 'CSE4', 'GPT2', 'SEC22', 'MMS22', 'DCK1', 'ERV25', 'ERV41', 'SPT21', 'DSL1', 'MRPL10', 'SEC21', 'MCA1', 'ESA1', 'RET3', 'SUR1', 'RBD2']",,"['COPI-coated vesicle membrane', 'Golgi apparatus', 'Golgi membrane', 'cytoplasmic vesicle', 'membrane coat']",['Coatomer WD associated region']
COPI-coated vesicle,12,"['YCL001W', 'YDR100W', 'YER005W', 'YER113C', 'YER122C', 'YIL048W', 'YJL123C', 'YJR134C', 'YML038C', 'YOL107W', 'YOL137W', 'YPL246C']",,['GYP1'],,"['retrograde vesicle-mediated transport, Golgi to ER']",,,"['AKR1', 'KEX1', 'YPT35', 'RBD2']",,"['Golgi apparatus', 'Golgi membrane', 'integral component of membrane']",
COPI-coated vesicle membrane,12,"['YAR033W', 'YDL121C', 'YDL145C', 'YDR238C', 'YFR051C', 'YGL051W', 'YGL137W', 'YIL076W', 'YKL077W', 'YML038C', 'YNL287W', 'YPL010W']",,"['VPS8', 'ERV14', 'TIP20', 'COG1', 'NNF2', 'BET1', 'GEA1', 'ERV25', 'COG6', 'DSL1', 'TLG2', 'GYP1', 'VPS21', 'CEX1']",['structural molecule activity'],"['ER to Golgi vesicle-mediated transport', 'intra-Golgi vesicle-mediated transport', 'intracellular mRNA localization', 'intracellular protein transport', 'protein transport', 'retrograde vesicle-mediated transport, Golgi to ER', 'vesicle-mediated transport']",,"['protein secretion: abnormal', 'protein/peptide distribution: decreased']","['SLA1', 'VAM6', 'COP1', 'ARF1', 'SEC26', 'VPS74', 'GLO3', 'LAM5', 'RET2', 'MST27', 'SEC27', 'RRT6', 'BET1', 'SEC28', 'SEC24', 'SNA3', 'AUR1', 'TPO5', 'SEC22', 'ERV25', 'ERV41', 'SPT21', 'DSL1', 'MRPL10', 'SEC21', 'MCA1', 'ESA1', 'RET3', 'RBD2']",,"['COPI vesicle coat', 'ER to Golgi transport vesicle membrane', 'Golgi apparatus', 'Golgi membrane', 'cytoplasmic vesicle', 'membrane', 'membrane coat']",['Coatomer WD associated region']
COPII vesicle coat,8,"['YDL195W', 'YHR035W', 'YHR098C', 'YIL109C', 'YLR208W', 'YNL049C', 'YPL218W', 'YPR181C']",,"['SED4', 'SEC31', 'YIP1', 'IRE1', 'SFB3', 'SEC24', 'SEC16', 'SEC23']","['SNARE binding', 'signal sequence binding', 'zinc ion binding']","['COPII-coated vesicle budding', 'ER to Golgi vesicle-mediated transport', 'cargo loading into COPII-coated vesicle', 'intracellular protein transport', 'protein transport', 'regulation of COPII vesicle coating', 'vesicle-mediated transport']",,"['endomembrane system morphology: abnormal', 'endoplasmic reticulum morphology: abnormal', 'protein secretion: decreased', 'protein/peptide accumulation: increased']","['ERV46', 'ERP1', 'SEC17', 'SFT2', 'SIT4', 'ATG9', 'SEC31', 'SHR3', 'AKR1', 'TLG1', 'GRH1', 'YPT31', 'SEC4', 'YPT1', 'EMP47', 'RPL7A', 'PMR1', 'EMP24', 'YIP1', 'GOS1', 'RPN1', 'SFB3', 'SVP26', 'BET1', 'NEO1', 'SEC24', 'DID4', 'SFT1', 'YPT52', 'DID2', 'TVP38', 'SED5', 'BOS1', 'EMP46', 'SEC13', 'SEC22', 'FKS1', 'ATG23', 'ERV25', 'ERV41', 'STV1', 'VTI1', 'YIP3', 'SFB2', 'PEP12', 'VPS21', 'SEC16', 'VPS30', 'HRR25', 'SAR1', 'SSO1', 'SEC23', 'SSP120']",,"['ER to Golgi transport vesicle membrane', 'Golgi apparatus', 'Golgi membrane', 'cytoplasmic vesicle', 'endoplasmic reticulum', 'endoplasmic reticulum exit site', 'endoplasmic reticulum membrane']","['Gelsolin repeat', 'Sec23/Sec24 zinc finger', 'Sec23/Sec24 trunk domain', 'Sec23/Sec24 helical domain', 'Sec23/Sec24 beta-sandwich domain']"
CORVET complex,6,"['YAL002W', 'YDR495C', 'YLR148W', 'YLR396C', 'YMR231W', 'YPL045W']",,"['NAT1', 'VMA1', 'PEP7', 'GET2', 'GET1', 'VPS45', 'SWC4', 'YPP1', 'CTF8', 'ASF1', 'RAD27', 'SLA2', 'VPS21', 'VAM3', 'ESA1']",['phosphatidylinositol binding'],"['Golgi to endosome transport', 'endosomal vesicle fusion', 'endosome organization', 'intracellular protein transport', 'late endosome to vacuole transport', 'organelle fusion', 'protein targeting to vacuole', 'protein transport', 'regulation of SNARE complex assembly', 'vacuole fusion, non-autophagic', 'vacuole organization', 'vesicle docking involved in exocytosis', 'vesicle tethering', 'vesicle-mediated transport']",,"['acid pH resistance: decreased', 'alkaline pH resistance: decreased', 'chemical compound excretion: increased', 'hyperosmotic stress resistance: decreased', 'ionic stress resistance: decreased', 'metal resistance: decreased', 'protein/peptide distribution: abnormal', 'protein/peptide modification: decreased', 'respiratory growth: increased', 'toxin resistance: decreased', 'vacuolar morphology: absent', 'vacuolar transport: abnormal']","['VPS8', 'VAM6', 'VPS41', 'VPS3', 'YCK3', 'MON1', 'VAM7', 'YPT52', 'PEP3', 'VPS33', 'YPT7', 'VTI1', 'PEP5', 'VPS21', 'VAM3', 'VPS16', 'VPS30', 'APL5']",,"['HOPS complex', 'endosome', 'fungal-type vacuole membrane', 'vacuole']",
CST complex,3,"['YDL220C', 'YDR082W', 'YLR010C']",,['EST2'],"['single-stranded telomeric DNA binding', 'translation elongation factor binding']",['telomere capping'],,['telomere length: increased'],"['CDC13', 'STN1', 'TEN1']",,"['chromosome', 'chromosome, telomeric region']",
CTDK-1 complex,3,"['YJL006C', 'YKL139W', 'YML112W']",,"['HIR1', 'PPS1', 'HCM1', 'RAD18', 'CSM1', 'CDC34', 'PPH3', 'RAD55', 'XRS2', 'LPP1', 'EPL1', 'CAK1', 'PKP2', 'RAD54', 'TOS3', 'HOS2', 'SCH9', 'CBF1', 'BUR2', 'MFT1', 'CCS1', 'TAF9', 'RIO2', 'HIR2', 'SSN3']",,"['positive regulation of DNA-templated transcription, elongation', 'positive regulation of transcription from RNA polymerase I promoter', 'positive regulation of translational fidelity', 'protein phosphorylation']",,['nucleolar morphology: abnormal'],,,"['cyclin/CDK positive transcription elongation factor complex', 'nucleoplasm']",
CURI complex,4,"['YCL031C', 'YGR090W', 'YLR223C', 'YOR039W']",,,,,,,"['UTP22', 'CKA1', 'IFH1', 'CKB2', 'FHL1']",,['UTP-C complex'],
CVT complex,4,"['YGL156W', 'YKL103C', 'YOL082W', 'YOL083W']",,,,,,,"['ATG8', 'MXR2', 'AMS1', 'APE1', 'ATG19', 'ATG34', 'HRR25', 'ATG11']",,,"['Autophagy protein Atg19, Atg8-binding']"
Cbf1-Met4-Met28 complex,3,"['YIR017C', 'YJR060W', 'YNL103W']",,['MET31'],"['transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding']",,,,"['MET32', 'CBF1', 'MET4']",['CBF1'],,
Cbp3p-Cbp6 complex,2,"['YBR120C', 'YPL215W']",,,,"['mitochondrial respiratory chain complex III assembly', 'positive regulation of mitochondrial translation']",,,['AIF1'],,['mitochondrial ribosome'],
Cdc24p-Far1p-Gbetagamma complex,4,"['YAL041W', 'YJL157C', 'YJR086W', 'YOR212W']",,"['STE5', 'STE12']",,"['G-protein coupled receptor signaling pathway', 'chemotropism', 'pheromone-dependent signal transduction involved in conjugation with cellular fusion']",,"['cellular morphology: abnormal', 'mating efficiency: decreased', 'pheromone sensitivity: abnormal', 'pheromone-induced cell cycle arrest: absent', 'shmoo formation: absent', 'sterile']","['CDC24', 'FAR1', 'STE18', 'STE4']",,"['G-protein beta/gamma-subunit complex', 'heterotrimeric G-protein complex']",
Cdc48p-Npl4p-Vms1p AAA ATPase complex,3,"['YBR170C', 'YDL126C', 'YDR049W']",,,,"['DNA replication termination', 'ER-associated misfolded protein catabolic process', 'ER-associated ubiquitin-dependent protein catabolic process', 'mitochondria-associated ubiquitin-dependent protein catabolic process', 'mitotic spindle disassembly', 'negative regulation of telomerase activity', 'positive regulation of protein localization to nucleus', 'retrograde protein transport, ER to cytosol', 'ribosome-associated ubiquitin-dependent protein catabolic process', 'ubiquitin-dependent catabolism of misfolded proteins by cytoplasm-associated proteasome', 'ubiquitin-dependent catabolism of misfolded proteins by nucleus-associated proteasome']",,,"['NPL4', 'DER1', 'CDC48', 'UFD2', 'VMS1', 'DOA1', 'UBX2']",,"['Doa10p ubiquitin ligase complex', 'Hrd1p ubiquitin ligase ERAD-L complex', 'RQC complex', 'VCP-NPL4-UFD1 AAA ATPase complex', 'replisome']",
Cdc50p-Drs2p complex,2,"['YAL026C', 'YCR094W']",,,,"['aminophospholipid translocation', 'phospholipid translocation']",,,,,,
Cdc73/Paf1 complex,7,"['YAL021C', 'YBR279W', 'YDR138W', 'YGL244W', 'YLR418C', 'YOL145C', 'YOR123C']",,"['SWC3', 'HIR1', 'POP8', 'HHT1', 'RXT2', 'CDC28', 'SWC5', 'PAF1', 'SLM3', 'RPO21', 'HPR1', 'SUP35', 'SAS4', 'PCF11', 'MNN10', 'SWR1', 'EAF1', 'SEM1', 'SPT3', 'VPS72', 'GIM4', 'SWI4', 'SPT15', 'SPT2', 'GET1', 'DST1', 'SOH1', 'SPT16', 'RTF1', 'SPT4', 'SRB5', 'SPT6', 'PRE9', 'ELP2', 'YNG2', 'THP2', 'RPN10', 'RPB4', 'SET2', 'CDC6', 'RAD7', 'CTK1', 'SPT8', 'ARP6', 'SWI6', 'BUR2', 'SEC22', 'VID22', 'SPT5', 'VPS71', 'MFT1', 'POB3', 'RCO1', 'SPC24', 'UBP8', 'RNH1', 'RNA1', 'RKR1', 'SAP30', 'FCP1', 'ELP6', 'HHT2', 'IFM1', 'GAL11', 'RRP6', 'HIR2', 'YNG1', 'RPB2', 'ULS1', 'SUR1', 'ELP3', 'ELP4', 'SPP1', 'RAD53', 'IPL1', 'CET1', 'NHP6A', 'COG4', 'SGV1']","['RNA polymerase II C-terminal domain phosphoserine binding', 'RNA polymerase II core binding']","['DNA-templated transcription, termination', 'global genome nucleotide-excision repair', 'histone modification', ""mRNA 3'-end processing"", 'negative regulation of DNA recombination', 'negative regulation of macromitophagy', 'positive regulation of histone H3-K36 trimethylation', 'positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues', 'positive regulation of transcription elongation from RNA polymerase I promoter', 'positive regulation of transcription elongation from RNA polymerase II promoter', ""recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex"", 'regulation of chromatin silencing at telomere', 'regulation of histone H2B conserved C-terminal lysine ubiquitination', 'regulation of histone H2B ubiquitination', 'regulation of histone H3-K4 methylation', 'regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues', 'regulation of transcription-coupled nucleotide-excision repair', ""snoRNA 3'-end processing"", 'snoRNA transcription from an RNA polymerase II promoter', 'transcription elongation from RNA polymerase I promoter', 'transcription elongation from RNA polymerase II promoter']",,"['anaerobic growth: decreased rate', 'auxotrophy', 'bud morphology: abnormal', 'cell size: increased', 'chemical compound accumulation: abnormal', 'cold sensitivity: increased', 'heat sensitivity: increased', 'respiratory growth: decreased rate', 'sporulation efficiency: decreased', 'telomere length: decreased', 'transposable element transposition: increased', 'vegetative growth: decreased']","['CCR4', 'CDC19', 'PAF1', 'RPO21', 'HPR1', 'TAF10', 'PRE1', 'PMA1', 'SPT16', 'RTF1', 'TFG2', 'SLT2', 'CKA1', 'RPT1', 'YEF3', 'CDC73', 'SPT5', 'POB3', 'CRT10', 'ADH1', 'CTR9', 'LEO1', 'MMS1']",,"['nucleoplasm', 'transcriptionally active chromatin']",
Clr6 histone deacetylase complex I'',1,['YBR095C'],,,,,,,,,,
CoA-synthesizing protein complex,6,"['YDR196C', 'YGR277C', 'YIL083C', 'YKL088W', 'YKR072C', 'YOR054C']",,,"['FMN binding', 'dephospho-CoA kinase activity', 'phosphopantothenoylcysteine decarboxylase activity', 'protein phosphatase inhibitor activity']",['coenzyme A biosynthetic process'],['pantothenate and coenzyme A biosynthesis'],,"['PPZ2', 'CAB4', 'CAB2', 'CAB3']",,['phosphopantothenoylcysteine decarboxylase complex'],['Flavoprotein']
Ctf18 RFC-like complex,7,"['YBR087W', 'YCL016C', 'YHR191C', 'YJR068W', 'YMR078C', 'YNL290W', 'YOL094C']",,"['NUP60', 'RFA1', 'FUS3', 'MCM2', 'UBP14', 'POL30', 'MSI1', 'STP22', 'MRC1', 'MCD1', 'SLX5', 'MPS1', 'RPN6', 'POL3', 'RAD57', 'PSF1', 'RAD61', 'DBF4', 'RAD55', 'PDS1', 'HMO1', 'SCC2', 'HST4', 'SEM1', 'XRS2', 'VPS3', 'PAC2', 'RAD51', 'SLX8', 'CHD1', 'RAD24', 'SMC1', 'UBP6', 'ECO1', 'CDC26', 'VPS45', 'TAF6', 'RAD54', 'KIP3', 'RAI1', 'RNR4', 'BUB1', 'RPN10', 'MAD3', 'MAD2', 'SMC3', 'ASF1', 'RPA34', 'POL32', 'VPS25', 'RAD27', 'ORC3', 'STU2', 'APC9', 'CDC45', 'MEC3', 'VPS33', 'BDF1', 'VPS36', 'TSA1', 'RAD52', 'PIF1', 'CAC2', 'CSM3', 'VPS20', 'MRE11', 'PEP5', 'VAC7', 'FKH2', 'END3', 'GCR2', 'CNM67', 'RAD50', 'ORC5', 'POL2', 'TOF1', 'MDM20', 'RRP6', 'RTS1', 'BUB3', 'ASE1', 'SGO1', 'ARP8', 'ELG1', 'SLK19', 'BFR1', 'RPT4', 'RAD17', 'SNF8', 'CHL1', 'IRC15', 'CTF19', 'VPS16', 'SGF11', 'BRO1', 'RAD53', 'DDC1', 'VIK1', 'RLF2', 'CTF4', 'KAR3', 'FYV4', 'HIT1', 'VPS34']","['ATPase activity', 'DNA binding', 'DNA clamp loader activity']","['DNA repair', 'DNA replication', 'DNA-dependent DNA replication', 'cell cycle', 'leading strand elongation', 'maintenance of DNA trinucleotide repeats', 'mitotic sister chromatid cohesion', 'sister chromatid cohesion', 'telomere tethering at nuclear periphery']",,"['cell cycle progression in G2 phase: abnormal', 'cell cycle progression in S phase: abnormal', 'chromosome segregation: abnormal', 'chromosome/plasmid maintenance: abnormal', 'colony sectoring: increased', 'mutation frequency: increased']","['POL12', 'RFC5', 'POL30', 'DCC1', 'CDC9', 'RAD24', 'ECO1', 'CTF8', 'ASF1', 'RFC2', 'CTF18', 'RFC3', 'RFC4', 'ELG1', 'RFC1', 'CTF4']",,"['DNA replication factor C complex', 'Elg1 RFC-like complex', 'Rad17 RFC-like complex']","['ATPase family associated with various cellular activities (AAA)', 'Replication factor C C-terminal domain']"
Cul3-RING ubiquitin ligase complex,7,"['YBR114W', 'YGR003W', 'YJL047C', 'YJR052W', 'YNL230C', 'YOL133W', 'YPL046C']",,['RAD26'],['ubiquitin-protein transferase activity'],"['nucleotide-excision repair, DNA damage recognition', 'protein ubiquitination', 'ubiquitin-dependent protein catabolic process']",,,"['RAD16', 'CUL3', 'RAD7', 'ELC1']",,"['Cul8-RING ubiquitin ligase complex', 'cullin-RING ubiquitin ligase complex', 'elongin complex', 'nucleotide-excision repair factor 4 complex']",
Cul4-RING E3 ubiquitin ligase complex,2,"['YLL011W', 'YPL151C']",,,,,,,,,,
Cul4A-RING E3 ubiquitin ligase complex,1,['YDR030C'],,,,,,,,,,
Cul8-RING ubiquitin ligase complex,5,"['YHR154W', 'YJL047C', 'YLR320W', 'YOL133W', 'YPR164W']",,"['CCR4', 'LTE1', 'POL30', 'MMS4', 'STP22', 'MRC1', 'CSM1', 'RAD59', 'NUP84', 'RAD57', 'DPB4', 'HST4', 'HRQ1', 'EAF1', 'XRS2', 'PPM1', 'RAD51', 'SLX8', 'RAD24', 'DST1', 'RAD6', 'RAD54', 'HUR1', 'MCM6', 'RRM3', 'RTT107', 'CTF8', 'SRS2', 'POL32', 'BFA1', 'ELM1', 'RAD27', 'PEP3', 'SWI6', 'TOP3', 'YAP1', 'TSA1', 'RAD52', 'UFO1', 'CCS1', 'BUB2', 'SGS1', 'MRE11', 'PSY2', 'RAD50', 'POP2', 'RTS1', 'HST3', 'BUB3', 'DIA2', 'ARP8', 'CLB2', 'CTF4', 'MMS1', 'YDR061W']",,"['DNA repair', 'cell division', 'cellular response to DNA damage stimulus', 'negative regulation of transposition, RNA-mediated', 'replication fork processing']",,"['mitotic recombination: normal', 'protein/peptide distribution: increased', 'transposable element transposition: increased']","['CDC34', 'SLD5', 'RTT107', 'RTT101', 'CRT10', 'HRT1', 'CTF4', 'MMS1']",,"['Cul3-RING ubiquitin ligase complex', 'cullin-RING ubiquitin ligase complex']",
Cvt vesicle membrane,1,['YBL078C'],,,,,,,,,,
DASH complex,10,"['YBR233W-A', 'YDR016C', 'YDR201W', 'YDR320C-A', 'YGL061C', 'YGR113W', 'YKL052C', 'YKL138C-A', 'YKR037C', 'YKR083C']",,['ASK1'],"['microtubule binding', 'microtubule plus-end binding']","['attachment of spindle microtubules to kinetochore', 'cell cycle', 'cell division', 'chromosome segregation', 'positive regulation of attachment of spindle microtubules to kinetochore', 'positive regulation of microtubule polymerization']",,['inviable'],"['SLI15', 'DAD3', 'DAD1', 'SPC19', 'DAD4', 'BIM1', 'DUO1', 'DAM1', 'NDC80', 'DSN1', 'ASK1', 'HSK3', 'SPC34', 'DAD2', 'ATG17', 'NUF2', 'IPL1']",,"['chromosome', 'chromosome, centromeric region', 'cytoplasm', 'cytoskeleton', 'kinetochore', 'microtubule', 'mitotic spindle', 'mitotic spindle pole body', 'nucleus', 'spindle', 'spindle microtubule']",
DNA helicase A complex,1,['YKL017C'],,,,,,,,,,
DNA ligase IV complex,3,"['YGL090W', 'YLR265C', 'YOR005C']",,,,['double-strand break repair via nonhomologous end joining'],,,"['LIF1', 'NEJ1']",,,"['XLF-Cernunnos, XRcc4-like factor, NHEJ component']"
DNA polymerase complex,1,['YJR006W'],,,,,,,,,,
DNA recombinase auxiliary factor complex,1,['YGL033W'],,,,,,,,,,
DNA replication factor A complex,3,"['YAR007C', 'YJL173C', 'YNL312W']",,,"['double-stranded DNA binding', 'sequence-specific DNA binding']","['DNA recombination', 'DNA repair', 'DNA replication', 'DNA topological change', 'DNA unwinding involved in DNA replication', 'double-strand break repair via homologous recombination', 'establishment of protein localization', 'heteroduplex formation', 'mitotic recombination', 'nucleotide-excision repair', 'protein ubiquitination', 'reciprocal meiotic recombination', 'telomere maintenance via recombination', 'telomere maintenance via telomerase', 'telomere maintenance via telomere lengthening']",,['cellular morphology: abnormal'],"['RFA1', 'HTB2', 'TEL1', 'MEC1', 'RAD18', 'MSH3', 'MSH6', 'HTB1', 'HTA1', 'LCD1', 'HSP12', 'DNA2', 'RFA3', 'BUR2', 'EST2', 'RAD52', 'RNH1', 'RFA2']",,"['chromosome, telomeric region', 'condensed nuclear chromosome']",
DNA replication factor C complex,5,"['YBR087W', 'YJR068W', 'YNL290W', 'YOL094C', 'YOR217W']",,['POL30'],"['ATP binding', 'ATPase activity', 'DNA binding', 'DNA clamp loader activity', 'nucleotide binding']","['DNA repair', 'DNA replication', 'DNA-dependent DNA replication', 'cell cycle', 'leading strand elongation', 'mismatch repair', 'sister chromatid cohesion']",,"['cell cycle progression in G2 phase: abnormal', 'cell cycle progression in S phase: abnormal']","['HTA2', 'POL12', 'HHF1', 'HHT1', 'RFC5', 'POL30', 'VAM6', 'CDC9', 'SIZ1', 'RAD24', 'ECO1', 'CRM1', 'CTF8', 'ULP2', 'DSN1', 'ASF1', 'RFC2', 'CTF18', 'HHF2', 'HHT2', 'RFC3', 'RFC4', 'ELG1', 'RFC1', 'CTF4']",,"['Ctf18 RFC-like complex', 'Elg1 RFC-like complex', 'Rad17 RFC-like complex']","['ATPase family associated with various cellular activities (AAA)', 'Replication factor C C-terminal domain']"
