GO_MF(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_MF,Protein_Domain
"transferase activity, transferring acyl groups",77,"['YAR035W', 'YBL011W', 'YBL052C', 'YBR042C', 'YBR177C', 'YCR048W', 'YDL052C', 'YDL104C', 'YDR018C', 'YDR062W', 'YDR071C', 'YDR125C', 'YDR126W', 'YDR148C', 'YDR232W', 'YDR264C', 'YDR459C', 'YEL066W', 'YER024W', 'YER061C', 'YFL017C', 'YFR018C', 'YFR027W', 'YGL017W', 'YGL084C', 'YGL232W', 'YGR147C', 'YGR149W', 'YGR177C', 'YGR193C', 'YGR212W', 'YGR252W', 'YGR274C', 'YHR013C', 'YIL160C', 'YJL071W', 'YJL091C', 'YJL218W', 'YKR038C', 'YKR067W', 'YLL063C', 'YLR099C', 'YLR195C', 'YLR239C', 'YLR246W', 'YLR299W', 'YML042W', 'YML126C', 'YMR062C', 'YMR069W', 'YMR127C', 'YMR210W', 'YMR296C', 'YNL071W', 'YNL132W', 'YNL277W', 'YNL326C', 'YNR008W', 'YNR019W', 'YOL003C', 'YOR034C', 'YOR175C', 'YOR221C', 'YOR245C', 'YOR253W', 'YOR298W', 'YOR377W', 'YPL001W', 'YPL028W', 'YPL086C', 'YPL095C', 'YPL189W', 'YPL231W', 'YPR051W', 'YPR131C', 'YPR140W', 'YPR193C']",,,"['endoplasmic reticulum', 'endoplasmic reticulum membrane', 'lipid particle']","['CDP-diacylglycerol biosynthetic process', 'N-terminal peptidyl-methionine acetylation', 'N-terminal protein amino acid acetylation', 'cardiolipin acyl-chain remodeling', 'carnitine metabolic process', 'fatty acid metabolic process', 'histone acetylation', 'lipid metabolic process', 'medium-chain fatty acid biosynthetic process', 'medium-chain fatty acid catabolic process', 'peptidyl-L-cysteine S-palmitoylation', 'phospholipid biosynthetic process', 'protein palmitoylation', 'protein targeting to membrane']","['carnitine shuttle', 'fatty acid biosynthesis, initial steps', 'phosphatidate biosynthesis I (the dihydroxyacetone pathway)', 'phosphatidate biosynthesis II (the glycerol-3-phosphate pathway)', 'triglyceride biosynthesis']",,,,"['1-acylglycerol-3-phosphate O-acyltransferase activity', '1-acylglycerophosphocholine O-acyltransferase activity', 'N-acetyltransferase activity', 'O-acyltransferase activity', 'acetylesterase activity', 'acetyltransferase activity', 'alcohol O-acetyltransferase activity', 'carboxylic ester hydrolase activity', 'carnitine O-acetyltransferase activity', 'histone acetyltransferase activity', 'palmitoyltransferase activity', 'peptide alpha-N-acetyltransferase activity', 'protein-cysteine S-palmitoyltransferase activity', 'transferase activity', 'transferase activity, transferring acyl groups other than amino-acyl groups']","['alpha/beta hydrolase fold', 'Acetyltransferase (GNAT) family', 'Choline/Carnitine o-acyltransferase', 'DHHC palmitoyltransferase', 'Acyltransferase', 'MBOAT, membrane-bound O-acyltransferase family', 'Alcohol acetyltransferase']"
"transferase activity, transferring acyl groups other than amino-acyl groups",8,"['YDL104C', 'YIL160C', 'YJL127C', 'YKR038C', 'YLL063C', 'YNL277W', 'YOR245C', 'YPL028W']",,,,,,,,,"['N(6)-L-threonylcarbamoyladenine synthase', 'transferase activity', 'transferase activity, transferring acyl groups']","['Thiolase, N-terminal domain', 'tRNA N6-adenosine threonylcarbamoyltransferase', 'Thiolase, C-terminal domain']"
"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer",7,"['YCR005C', 'YDL131W', 'YDL182W', 'YNL104C', 'YNR001C', 'YOR108W', 'YPR001W']",,,['mitochondrion'],"['carboxylic acid metabolic process', 'cellular amino acid biosynthetic process', 'citrate metabolic process', 'tricarboxylic acid cycle']","['TCA cycle, aerobic respiration', 'glyoxylate cycle', 'leucine biosynthesis', 'lysine biosynthesis']",,,['RTG3'],"['2-isopropylmalate synthase activity', 'citrate (Si)-synthase activity', 'homocitrate synthase activity', 'transferase activity']","['Citrate synthase, C-terminal domain', 'HMGL-like', 'LeuA allosteric (dimerisation) domain']"
"transferase activity, transferring alkyl or aryl (other than methyl) groups",12,"['YBR002C', 'YDL193W', 'YDR127W', 'YHR190W', 'YJL167W', 'YLR146C', 'YLR303W', 'YML005W', 'YMR101C', 'YNR041C', 'YPL172C', 'YPR069C']",,,['dehydrodolichyl diphosphate synthase complex'],"['dolichol biosynthetic process', 'isoprenoid biosynthetic process', 'polyamine metabolic process', 'polyprenol biosynthetic process']",,,,,"['dehydrodolichyl diphosphate synthase activity', 'farnesyltranstransferase activity', 'polyprenyltransferase activity', 'prenyltransferase activity', 'transferase activity']","['UbiA prenyltransferase family', 'Putative undecaprenyl diphosphate synthase', 'Spermine/spermidine synthase domain', 'Spermidine synthase tetramerisation domain']"
"transferase activity, transferring glycosyl groups",85,"['YAL023C', 'YBL082C', 'YBR004C', 'YBR015C', 'YBR023C', 'YBR038W', 'YBR110W', 'YBR126C', 'YBR199W', 'YBR205W', 'YBR243C', 'YDL093W', 'YDL095W', 'YDR245W', 'YDR307W', 'YDR354W', 'YDR399W', 'YDR441C', 'YDR483W', 'YEL002C', 'YEL011W', 'YEL040W', 'YER001W', 'YER055C', 'YFR015C', 'YFR047C', 'YGL022W', 'YGL038C', 'YGL047W', 'YGL065C', 'YGL142C', 'YGL257C', 'YGR032W', 'YGR189C', 'YGR199W', 'YGR216C', 'YGR227W', 'YHR128W', 'YIL014W', 'YIL085C', 'YJL137C', 'YJL139C', 'YJL146W', 'YJL183W', 'YJL186W', 'YJR013W', 'YJR075W', 'YJR133W', 'YJR143C', 'YKR058W', 'YKR061W', 'YLR017W', 'YLR189C', 'YLR209C', 'YLR213C', 'YLR258W', 'YLR342W', 'YML022W', 'YML106W', 'YMR271C', 'YMR283C', 'YMR300C', 'YMR306W', 'YNL029C', 'YNL038W', 'YNL048W', 'YNL158W', 'YNL192W', 'YNL219C', 'YNR030W', 'YNR059W', 'YOR002W', 'YOR067C', 'YOR099W', 'YOR149C', 'YOR320C', 'YOR321W', 'YPL053C', 'YPL057C', 'YPL076W', 'YPL175W', 'YPL227C', 'YPR160W', 'YPR183W', 'YPR184W']",['congenital disorder of glycosylation type I'],"['CYS3', 'PMT2', 'FLC2', 'CNE1', 'PEP1', 'ALG3', 'PKC1', 'CHS3', 'CSH1', 'SEC66', 'ROT2', 'CWH43', 'PHO87', 'PSA1', 'PMT1', 'SAC7', 'ERD1', 'GPI17', 'NHX1', 'WBP1', 'SPF1', 'UTR2', 'MNN1', 'GET2', 'GLO3', 'HAC1', 'RPO41', 'ERG4', 'STT3', 'CWH41', 'GUP1', 'PMR1', 'KEX1', 'OST5', 'CRH1', 'DIE2', 'SLT2', 'IRE1', 'BIG1', 'CHS7', 'OST1', 'SYS1', 'LAS21', 'BCK1', 'MNN11', 'OPI3', 'HOC1', 'STE24', 'ILM1', 'PMT4', 'CNB1', 'VPS1', 'UTH1', 'CCW12', 'ARV1', 'SEC72', 'FKS1', 'ADE13', 'VPS38', 'ELO3', 'GAB1', 'ERV25', 'OST6', 'LDO16', 'SWP1', 'PAH1', 'ERG2', 'GAS1', 'YDJ1', 'ALG9', 'KRE1', 'ALG12', 'ALG6', 'ALG8', 'VPS5', 'OST3', 'VPS21', 'OST2', 'VPS17', 'SEC63', 'BTS1', 'ALG5', 'YME1', 'SRO7', 'DPM1']","['1,3-beta-D-glucan synthase complex', 'Golgi apparatus', 'Golgi membrane', 'alpha-1,6-mannosyltransferase complex', 'cell septum', 'chitosome', 'dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex', 'dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex', 'dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex', 'dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex', 'endoplasmic reticulum', 'endoplasmic reticulum membrane', 'glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex', 'integral component of membrane', 'mannosyltransferase complex', 'membrane']","['(1->3)-beta-D-glucan biosynthetic process', 'GPI anchor biosynthetic process', 'cell wall chitin metabolic process', 'cell wall mannoprotein biosynthetic process', 'cell wall organization', 'dolichol-linked oligosaccharide biosynthetic process', 'fungal-type cell wall polysaccharide biosynthetic process', 'glycogen biosynthetic process', 'mannosylation', 'nucleoside metabolic process', 'oligosaccharide-lipid intermediate biosynthetic process', 'protein N-linked glycosylation', 'protein O-linked glycosylation', 'protein O-linked mannosylation', 'protein glycosylation', 'purine ribonucleoside salvage', 'regulation of endoplasmic reticulum unfolded protein response']","['chitin biosynthesis', 'glycogen biosynthesis', 'lipid-linked oligosaccharide biosynthesis', 'salvage pathways of adenine, hypoxanthine and their nucleosides', 'salvage pathways of purines and their nucleosides']","['auxotrophy', 'cell wall morphology: abnormal', 'chitin deposition: increased', 'killer toxin resistance: increased', 'protein secretion: increased', 'spore wall formation: abnormal']","['ALG1', 'SVP26', 'GTT1', 'SEC62']",,"['1,3-beta-D-glucan synthase activity', 'alpha-1,2-mannosyltransferase activity', 'alpha-1,3-mannosyltransferase activity', 'alpha-1,6-mannosyltransferase activity', 'chitin synthase activity', 'dolichyl-phosphate-mannose-protein mannosyltransferase activity', 'glucosyltransferase activity', 'glycolipid mannosyltransferase activity', 'mannosyltransferase activity', 'phosphatidylinositol N-acetylglucosaminyltransferase activity', 'transferase activity', 'transferase activity, transferring hexosyl groups', 'transferase activity, transferring pentosyl groups']","['Phosphoribosyl transferase domain', 'Glycosyl transferases group 1', 'Glycosyl hydrolases family 16', 'Glycolipid 2-alpha-mannosyltransferase', '1,3-beta-glucan synthase component', 'Dolichyl-phosphate-mannose-protein mannosyltransferase', 'MIR domain', 'Alg9-like mannosyltransferase family', 'Glycosyltransferase sugar-binding region containing DXD motif', 'Mannosyltransferase putative', '1,3-beta-glucan synthase subunit FKS1, domain-1', 'C-terminal four TMM region of protein-O-mannosyltransferase']"
"transferase activity, transferring hexosyl groups",7,"['YBR023C', 'YBR038W', 'YGL047W', 'YLR189C', 'YNL192W', 'YOR002W', 'YOR067C']",,,"['cell septum', 'chitosome']",,"['chitin biosynthesis', 'lipid-linked oligosaccharide biosynthesis']",,,,"['chitin synthase activity', 'transferase activity', 'transferase activity, transferring glycosyl groups']","['Chitin synthase', 'Chitin synthase N-terminal']"
"transferase activity, transferring one-carbon groups",1,['YOR074C'],,,,,,,,,,
"transferase activity, transferring pentosyl groups",6,"['YBR248C', 'YFR047C', 'YGR144W', 'YLR017W', 'YLR209C', 'YMR283C']",,,,,,,,,"['transferase activity, transferring glycosyl groups']",['Phosphorylase superfamily']
"transferase activity, transferring phosphorus-containing groups",6,"['YBR029C', 'YDL235C', 'YDR072C', 'YIL042C', 'YIL147C', 'YLL031C']",,,,,,,,,['histidine phosphotransfer kinase activity'],
transketolase activity,2,"['YBR117C', 'YPR074C']",,,,,['non-oxidative branch of the pentose phosphate pathway'],,,,,"['Transketolase, thiamine diphosphate binding domain', 'Transketolase, pyrimidine binding domain', 'Transketolase, C-terminal domain']"
translation activator activity,1,['YMR066W'],,,,,,,,,,
translation elongation factor activity,15,"['YAL003W', 'YBR118W', 'YDR385W', 'YEL034W', 'YJR047C', 'YKL081W', 'YKR084C', 'YLR069C', 'YLR249W', 'YNL014W', 'YOR076C', 'YOR133W', 'YOR187W', 'YPL048W', 'YPR080W']",,['SUP35'],['cytosolic ribosome'],"['maintenance of translational fidelity', 'mitochondrial translational elongation', 'positive regulation of translational elongation', 'positive regulation of translational termination', 'translation', 'translational elongation']",,,"['EFB1', 'TEF2', 'CDC28', 'YIH1', 'PAT1', 'DHH1', 'LYS4', 'HYP2', 'PRE1', 'UBP3', 'IES1', 'RPN11', 'YLF2', 'SBP1', 'RPN1', 'DBP8', 'RPN10', 'EFM4', 'EGH1', 'COA3', 'LSM1', 'CSE4', 'TEF4', 'PXA2', 'RPF2', 'RLP7', 'RPT5', 'EFT1', 'CAM1', 'HSP82', 'TEF1', 'RPS22A']",,"['GTP binding', 'GTPase activity', 'nucleotide binding', 'ribosome binding']","['Elongation factor Tu GTP binding domain', 'Elongation factor 1 gamma, conserved domain', 'Elongation factor G C-terminus', 'Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold', 'Elongation factor Tu C-terminal domain', 'Elongation factor Tu domain 2', 'Elongation factor G, domain IV', 'Elongation Factor G, domain III', 'Four helical bundle domain']"
translation elongation factor binding,4,"['YDL220C', 'YDR082W', 'YGR187C', 'YLR010C']",,['EST2'],"['CST complex', 'chromosome', 'chromosome, telomeric region']",['telomere capping'],,,"['CDC13', 'TEN1']",,['single-stranded telomeric DNA binding'],
translation initiation factor activity,36,"['YAL035W', 'YBR079C', 'YDR091C', 'YDR117C', 'YDR211W', 'YDR429C', 'YEL034W', 'YER025W', 'YER153C', 'YGL049C', 'YGR054W', 'YGR083C', 'YGR162W', 'YJL131C', 'YJL138C', 'YJR007W', 'YJR014W', 'YKR026C', 'YKR059W', 'YLR192C', 'YLR291C', 'YMR146C', 'YMR260C', 'YMR309C', 'YNL244C', 'YOL023W', 'YOL139C', 'YOR204W', 'YOR260W', 'YOR276W', 'YOR361C', 'YPL119C', 'YPL237W', 'YPR016C', 'YPR041W', 'YPR163C']","['leukodystrophy', 'leukoencephalopathy with vanishing white matter']","['COX3', 'RPG1', 'POP7', 'SUP35', 'GCD6', 'GCN2', 'GCD11', 'TIF4632', 'TIF4631', 'DED81', 'TIF2', 'SUI2', 'GCN3', 'TIF1', 'SLS1', 'HCR1', 'CDC123', 'CDC73', 'NAM7', 'TIF34', 'TIF11', 'RIT1', 'NIP1', 'NOP15', 'SUI1', 'CDC33', 'DED1', 'GCD1', 'CAF20', 'PRT1', 'SUI3', 'TIF5', 'TIF3']","['cytoplasmic stress granule', 'eukaryotic 43S preinitiation complex', 'eukaryotic 48S preinitiation complex', 'eukaryotic translation initiation factor 2 complex', 'eukaryotic translation initiation factor 2B complex', 'eukaryotic translation initiation factor 3 complex', 'eukaryotic translation initiation factor 3 complex, eIF3m', 'eukaryotic translation initiation factor 4F complex', 'guanyl-nucleotide exchange factor complex', 'multi-eIF complex']","['cellular metabolic process', 'cytoplasmic translational initiation', 'formation of cytoplasmic translation initiation complex', 'formation of translation preinitiation complex', 'mature ribosome assembly', 'positive regulation of ATPase activity', 'positive regulation of formation of translation preinitiation complex', 'regulation of ATP-dependent RNA helicase activity', 'regulation of translation', 'regulation of translational initiation', 'translation', 'translation reinitiation', 'translational initiation']",,['inviable'],"['FUN12', 'HHF1', 'RPG1', 'SUP45', 'AIM4', 'TAF5', 'NOP6', 'RLI1', 'SUP35', 'GCD6', 'TIF35', 'HYP2', 'GCD11', 'ARB1', 'MAG1', 'UBP3', 'PAB1', 'SPB4', 'RPN11', 'TIF4632', 'RPL7A', 'YGR054W', 'GCD2', 'TIF4631', 'RPS0A', 'CRM1', 'SBP1', 'RPN1', 'RTC3', 'RPN10', 'PCI8', 'FKH1', 'DSN1', 'LSM1', 'TIF2', 'SUI2', 'RPS4A', 'PXA2', 'GCN3', 'TIF1', 'RPL8B', 'CBF5', 'HCR1', 'GCD7', 'MMS22', 'MAG2', 'IMD3', 'PSP2', 'TIF34', 'TIF11', 'NIP1', 'HHF2', 'GCD10', 'SUI1', 'GIS2', 'IST1', 'BRE5', 'DUF1', 'RRI2', 'CDC33', 'RPS7A', 'DED1', 'GCD1', 'PRT1', 'SUI3', 'TIF5', 'SUA7', 'SCD6', 'URN1', 'RPS8A', 'RPS22A', 'RPS22B', 'RPS1B']","['SFP1', 'SIN4', 'GCR1']","['GTP binding', 'RNA binding', 'guanyl-nucleotide exchange factor activity', 'mRNA binding', 'methionyl-initiator methionine tRNA binding', 'nucleic acid binding', 'ribosomal small subunit binding', 'ribosome binding', 'translation initiation factor binding']","['Initiation factor 2 subunit family', 'Translation initiation factor SUI1']"
translation initiation factor binding,14,"['YAL035W', 'YDL207W', 'YDR211W', 'YDR404C', 'YER025W', 'YGL049C', 'YJL140W', 'YMR260C', 'YMR309C', 'YNL244C', 'YOR361C', 'YPL203W', 'YPL237W', 'YPR041W']",,"['GCN2', 'HCR1', 'TIF34', 'TIF11', 'SUI1', 'SUI3', 'TIF5']","['P-body', 'cytoplasmic stress granule', 'eukaryotic 43S preinitiation complex', 'eukaryotic 48S preinitiation complex', 'eukaryotic translation initiation factor 2 complex', 'multi-eIF complex']","['formation of cytoplasmic translation initiation complex', 'formation of translation preinitiation complex', 'regulation of translational initiation', 'translation', 'translational initiation']",,['inviable'],"['FUN12', 'RPG1', 'GCD6', 'RPB7', 'TIF35', 'PKH1', 'HYP2', 'GCD11', 'UBP3', 'CEG1', 'GCD2', 'TIF4631', 'RPS0A', 'CRM1', 'RPB4', 'SUI2', 'HCR1', 'GCD7', 'TIF34', 'TIF11', 'NIP1', 'SUI1', 'DED1', 'GCD1', 'PRT1', 'SUI3', 'TIF5', 'RPS22A']",,"['methionyl-initiator methionine tRNA binding', 'translation initiation factor activity']","['Domain found in IF2B/IF5', 'eIF4-gamma/eIF5/eIF2-epsilon']"
translation regulator activity,12,"['YDL069C', 'YDR197W', 'YDR350C', 'YGR222W', 'YLR067C', 'YLR203C', 'YMR064W', 'YMR257C', 'YNL255C', 'YNR045W', 'YOR302W', 'YPL074W']",,,"['extrinsic component of mitochondrial inner membrane', 'mitochondrial inner membrane', 'mitochondrion']","['positive regulation of mitochondrial translation', 'regulation of translation']",,"['chemical compound accumulation: decreased', 'chemical compound excretion: increased', 'chronological lifespan: decreased', 'desiccation resistance: decreased', 'protein/peptide accumulation: absent', 'respiratory growth: absent', 'respiratory growth: decreased rate', 'utilization of carbon source: decreased', 'utilization of carbon source: decreased rate']",['PET54'],,,
translation release factor activity,6,"['YBR143C', 'YDR172W', 'YGL143C', 'YHR038W', 'YLR281C', 'YOL114C']",,,['translation release factor complex'],"['cytoplasmic translational termination', 'mitochondrial translational termination', 'translational termination']",,,,,,['RF-1 domain']
"translation release factor activity, codon nonspecific",1,['YOL114C'],,,,,,,,,,
"translation release factor activity, codon specific",1,['YBR143C'],,,,,,,,,,
translation repressor activity,1,['YOR359W'],,,,,,,,,,
"translation repressor activity, nucleic acid binding",2,"['YDR293C', 'YDR496C']",,,,,,,,,"[""mRNA 3'-UTR binding"", ""mRNA 5'-UTR binding""]",
translation termination factor activity,1,['YPL226W'],,,,,,,,,,
transmembrane signaling receptor activity,4,"['YLR332W', 'YNL283C', 'YOL105C', 'YOR008C']",,"['PKC1', 'HYP2', 'HSF1', 'WSC2', 'RHO1']","['fungal-type vacuole', 'mating projection tip', 'plasma membrane']","['Rho protein signal transduction', 'cell wall organization', 'pexophagy', 'response to heat']",,['pexophagy: delayed'],"['FMP45', 'GPA2', 'MUP1', 'MID2', 'ROM2', 'TCB3', 'WSC2', 'PDR12']","['TEC1', 'STE12']",,['WSC domain']
transmembrane transporter activity,114,"['YAL067C', 'YBL042C', 'YBL089W', 'YBR008C', 'YBR021W', 'YBR043C', 'YBR180W', 'YBR235W', 'YBR241C', 'YBR293W', 'YBR298C', 'YCL069W', 'YCL073C', 'YCR023C', 'YCR028C', 'YCR098C', 'YDL054C', 'YDL138W', 'YDL194W', 'YDL199C', 'YDL210W', 'YDL245C', 'YDL247W', 'YDR119W', 'YDR338C', 'YDR342C', 'YDR343C', 'YDR345C', 'YDR387C', 'YDR497C', 'YDR536W', 'YEL004W', 'YEL065W', 'YEL069C', 'YER056C', 'YER060W', 'YER060W-A', 'YFL011W', 'YFL040W', 'YGL077C', 'YGL104C', 'YGL186C', 'YGR055W', 'YGR065C', 'YGR138C', 'YGR224W', 'YGR260W', 'YGR289C', 'YHL008C', 'YHL016C', 'YHL036W', 'YHL040C', 'YHL047C', 'YHR032W', 'YHR048W', 'YHR092C', 'YHR094C', 'YHR096C', 'YIL120W', 'YIL121W', 'YIL166C', 'YIR028W', 'YJL163C', 'YJL214W', 'YJL219W', 'YJR124C', 'YJR152W', 'YJR158W', 'YJR160C', 'YKL217W', 'YKL221W', 'YKR093W', 'YKR105C', 'YKR106W', 'YLL028W', 'YLL055W', 'YLR004C', 'YLR081W', 'YLR237W', 'YML116W', 'YML123C', 'YMR011W', 'YMR088C', 'YMR221C', 'YMR279C', 'YNL065W', 'YNL125C', 'YNL275W', 'YNL318C', 'YNR013C', 'YNR055C', 'YNR056C', 'YNR072W', 'YOL103W', 'YOL119C', 'YOL137W', 'YOL156W', 'YOL158C', 'YOL162W', 'YOL163W', 'YOR071C', 'YOR161C', 'YOR192C', 'YOR222W', 'YOR271C', 'YOR273C', 'YOR306C', 'YOR307C', 'YOR378W', 'YPL134C', 'YPL244C', 'YPR021C', 'YPR156C', 'YPR198W']",,"['PDX3', 'SNF3', 'HXT7', 'HXT6', 'HXT3', 'HXT4', 'HXT1', 'HXT5', 'GND1']","['cell periphery', 'fungal-type vacuole', 'fungal-type vacuole membrane', 'integral component of fungal-type vacuolar membrane', 'integral component of membrane', 'integral component of plasma membrane', 'intrinsic component of membrane', 'membrane', 'plasma membrane', 'vacuolar membrane', 'vacuole']","['5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport', 'amino acid transport', 'basic amino acid transmembrane transport', 'basic amino acid transport', 'borate transmembrane transport', 'carbohydrate transmembrane transport', 'carbohydrate transport', 'cellular iron ion homeostasis', 'cytosine transport', 'drug transmembrane export', 'fructose transport', 'galactose transport', 'glucose transmembrane transport', 'hexose transport', 'hydrogen ion transmembrane transport', 'ion transport', 'maltose metabolic process', 'maltose transport', 'mannitol transport', 'mannose transport', 'myo-inositol transport', 'nucleobase transport', 'pentose transport', 'purine-containing compound transmembrane transport', 'putrescine transport', 'siderophore transmembrane transport', 'sorbitol transport', 'spermidine transmembrane transport', 'spermidine transport', 'spermine transmembrane transport', 'spermine transport', 'thiamine transport', 'transmembrane transport']",,"['nutrient uptake: absent', 'nutrient uptake: decreased', 'nutrient uptake: increased', 'nutrient uptake: normal', 'small molecule transport: decreased']","['UIP3', 'RFS1', 'SND3', 'IFA38', 'HSP30', 'ELO2', 'FMP45', 'SNQ2', 'PLM2', 'FTR1', 'MST27', 'SDS23', 'HNM1', 'KEX1', 'MUP1', 'TPO2', 'VMA16', 'HXT1', 'HXT5', 'QDR2', 'SFK1', 'YET1', 'TOR2', 'TPO1', 'MID2', 'ELO3', 'INA1', 'GSF2', 'TCB3', 'WHI3', 'AUS1', 'ERP4', 'PDR5', 'PDR12', 'DIP5', 'MEP3', 'TPO3']","['PAF1', 'MIG1', 'SPT10', 'RGT1', 'MET4']","['5-amino-1-ribofuranosylimidazole-4-carboxamide transporter activity', 'antiporter activity', 'basic amino acid transmembrane transporter activity', 'borate efflux transmembrane transporter activity', 'fructose transmembrane transporter activity', 'galactose transmembrane transporter activity', 'glucose transmembrane transporter activity', 'mannose transmembrane transporter activity', 'myo-inositol:proton symporter activity', 'nucleobase transmembrane transporter activity', 'pentose transmembrane transporter activity', 'siderophore transmembrane transporter activity', 'spermidine transmembrane transporter activity', 'spermine transmembrane transporter activity', 'sugar:proton symporter activity', 'symporter activity', 'xenobiotic transporter activity']","['Sugar (and other) transporter', 'Permease for cytosine/purines, uracil, thiamine, allantoin', 'Major Facilitator Superfamily', 'Amino acid permease']"
trehalose transmembrane transporter activity,1,['YGR289C'],,,,,,,,,,
trehalose-phosphatase activity,4,"['YBR126C', 'YDR074W', 'YML100W', 'YMR261C']",,"['PHO87', 'NTH1', 'ADE13', 'TSL1']","['alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)']","['dephosphorylation', 'trehalose biosynthetic process', 'trehalose metabolism in response to stress']",['trehalose biosynthesis'],,"['TPS1', 'TPS2', 'TSL1', 'TPS3']","['BUR6', 'MSN4', 'RGM1', 'WTM2', 'SUA7']","['alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity', 'catalytic activity']","['Glycosyltransferase family 20', 'Trehalose-phosphatase']"
tricarboxylate secondary active transmembrane transporter activity,2,"['YBR291C', 'YMR241W']",,,,['mitochondrial citrate transport'],,,,,,
trichothecene 3-O-acetyltransferase activity,1,['YLL063C'],,,,,,,,,,
triglyceride lipase activity,12,"['YBR204C', 'YCR068W', 'YDR058C', 'YGR031W', 'YIL124W', 'YJR107W', 'YKR089C', 'YMR210W', 'YMR313C', 'YOR081C', 'YOR084W', 'YPR147C']",,,['lipid particle'],"['cellular lipid metabolic process', 'lipid catabolic process', 'lipid metabolic process', 'triglyceride catabolic process', 'triglyceride mobilization']",,,,,"['hydrolase activity', 'lipase activity']","['alpha/beta hydrolase fold', 'Patatin-like phospholipase', 'Lipase (class 3)', 'Domain of unknown function (DUF3336)']"
triokinase activity,2,"['YFL053W', 'YML070W']",,,,"['anaerobic glycerol catabolic process', 'cellular response to toxic substance', 'glycerol catabolic process', 'glycerol metabolic process', 'glycerol to glycerone phosphate metabolic process']",,,,,['glycerone kinase activity'],"['Dak1 domain', 'DAK2 domain']"
triose-phosphate isomerase activity,1,['YDR050C'],,,,,,,,,,
tripeptide transporter activity,1,['YKR093W'],,,,,,,,,,
triplex DNA binding,2,"['YLR150W', 'YOL145C']",,,,,,,,,,
tryptophan synthase activity,1,['YGL026C'],,,,,,,,,,
tryptophan-tRNA ligase activity,2,"['YDR268W', 'YOL097C']",,,,['tryptophanyl-tRNA aminoacylation'],,,,,,['tRNA synthetases class I (W and Y)']
